,Número dedeclaraciones,Renta brutamedia,Rentadisponiblemedia,Rentas del trabajo,Rentasexentas,Rentabruta,Cotizacionessocialesa la SS,Cuota resultante deautoliquidación,Rentadisponible
08011-Urgel-Sant Antoni,13.278,41.431,31.936,406.873.457,15.000.263,550.123.298,17.795.865,108.301.681,424.043.716
08012-Vila de Gracia,19.801,39.478,30.459,589.827.417,22.916.343,781.703.013,27.001.332,151.584.539,603.123.111
08013-Glories Catalanes,34.409,37.317,29.226,1.012.536.460,45.630.427,1.284.025.935,44.993.171,233.397.505,1.005.648.560
08014-Hostafrancs-Sants,37.478,34.764,27.445,1.065.834.382,47.505.822,1.302.892.292,48.401.618,225.930.235,1.028.597.022
08015-Sant Antoni,35.216,38.603,30.222,1.035.948.420,45.532.765,1.359.454.803,45.013.531,250.149.951,1.064.313.163
08016-La Prosperitat-Porta,28.684,28.059,23.077,667.148.346,35.433.943,804.846.822,31.491.374,111.434.034,661.948.538
08017-Vallvidrera-Tibidabo i Les Planes,18.583,96.094,68.786,909.424.838,25.575.686,1.785.709.056,27.471.395,482.134.071,1.278.251.262
08018-Sant Martí,23.765,37.045,29.013,713.300.518,36.277.971,880.370.516,32.990.696,157.916.182,689.487.622
08019-Diagonal Mar i El Front Maritim Del Poblenou,18.369,35.947,28.159,506.498.505,26.509.329,660.316.164,23.310.073,119.765.449,517.254.103
08020-La Verneda i La Pau,32.778,28.797,23.629,801.796.883,41.952.947,943.912.408,36.410.906,133.020.505,774.511.551
08021-Muntaner,15.907,89.809,64.945,731.285.411,23.359.813,1.428.584.398,23.480.951,372.052.914,1.033.075.884
08022-Sant Gervasi-La Bonanova,16.976,74.453,54.740,690.083.726,23.976.141,1.263.913.049,24.373.944,310.296.913,929.266.901
08023-Vallcarca i Los Penitentes,21.099,45.472,34.775,692.196.643,29.810.806,959.413.641,28.166.383,197.529.336,733.718.326
08024-Gracia-La Salud,32.666,37.740,29.593,962.277.692,42.367.727,1.232.799.411,41.514.999,224.626.208,966.674.460
08025-Sagrada Familia,39.463,36.537,28.705,1.149.534.064,53.079.815,1.441.856.837,49.943.910,259.171.442,1.132.769.295
08026-El Clot,23.061,33.152,26.360,630.019.235,27.050.560,764.521.585,29.126.497,127.525.128,607.885.872
08027-La Sagrera,37.037,32.101,25.789,998.771.231,48.831.335,1.188.917.086,45.390.885,188.383.351,955.162.064
08028-Les Corts,43.848,38.746,30.289,1.336.481.750,58.558.588,1.698.918.867,55.562.761,315.257.442,1.328.120.881
08029-L Nou Esquerra de L Eixample,31.988,46.249,35.397,1.082.579.315,44.965.601,1.479.416.997,42.612.531,304.591.891,1.132.274.494
08030-Sant Andreu-Bon Pastor,41.555,32.931,26.420,1.139.350.119,58.416.128,1.368.448.860,53.147.299,217.429.329,1.097.893.677
08031-Vilapicina i La Torre Llobeta,23.436,30.610,24.822,591.010.418,30.891.474,717.365.069,27.383.682,108.263.595,581.726.149
08032-El Carmelo-El Guinardó,30.391,31.116,25.113,764.978.511,38.634.432,945.634.597,36.081.902,146.345.811,763.217.826
08033-Vallbona-Ciutat Meridiana-Torre Baro-Canyelles,12.327,22.522,19.137,233.031.337,16.240.041,277.626.186,11.898.204,29.828.046,235.904.695
08034-Pedralbes-Sarriá,15.868,98.883,71.197,799.355.244,26.812.091,1.569.077.063,23.306.190,416.024.792,1.129.761.419
08035-Sant Genís Dels Agudells-Vall D Hebrón-Horta,15.851,35.776,28.295,438.301.587,21.615.189,567.079.343,19.266.371,99.317.018,448.500.396
08036-L Antiga Esquerra de L Eixample,13.557,48.201,36.727,454.004.239,18.666.506,653.465.938,18.537.868,137.037.637,497.908.181
08037-Verdaguer-L Eixample,9.860,49.102,37.569,318.889.608,14.594.959,484.144.489,12.848.337,100.867.480,370.430.201
08038-Sants- Montjuic-La Marina de Port,15.446,29.163,23.835,380.693.996,23.356.337,450.452.909,18.101.752,64.210.646,368.150.010
08041-Guinardó i Hospital de Sant Pau,20.717,34.383,27.255,589.709.272,24.920.556,712.304.852,26.307.754,121.357.895,564.641.929
08042-La Guineueta-Verdún,24.268,26.746,22.229,550.782.507,31.671.267,649.061.037,25.740.130,83.883.610,539.444.969
Resto,27.846,30.800,24.173,637.074.756,34.870.785,857.651.992,30.618.938,153.952.340,673.111.910
Hospitalet de Llobregat-08101,119.935,27.107,22.356,2.740.729.020,157.740.426,3.251.081.263,133.321.739,436.560.840,2.681.247.087
08901-Centre-Sant Josép,22.480,30.927,24.982,582.152.987,30.273.218,695.232.108,27.790.194,105.843.227,561.601.728
08902-Santa Eulalia-El Gornal,24.670,30.530,24.657,640.509.515,34.179.115,753.173.118,31.339.142,113.561.272,608.287.281
08903-La Torrassa,9.729,25.347,21.036,205.059.896,11.395.523,246.602.688,10.289.644,31.656.161,204.660.247
08904-Collblanc,11.458,24.371,20.283,237.001.342,12.916.840,279.239.544,12.213.803,34.623.368,232.405.223
08905-La Florida-Les Planes,16.984,22.396,19.161,315.057.045,21.932.640,380.367.744,15.376.289,39.570.225,325.430.874
08906-Pubilla Cases-Can Serra-San Feliú,19.490,24.583,20.693,405.322.309,25.684.452,479.112.952,19.812.454,56.006.095,403.306.877
08907-Bellvitge-Centre,12.550,27.155,22.606,293.766.112,17.656.472,340.792.163,13.375.808,43.716.374,283.702.364
08908-Bellvitge-Gran Vía Sud,1.949,31.407,25.200,50.126.390,2.831.831,61.212.085,2.435.085,9.662.457,49.114.615
Resto,625,24.558,20.381,11.733.424,870.334,15.348.862,689.320,1.921.663,12.737.880
Mataró-08121,58.891,29.272,23.789,1.377.038.097,72.028.329,1.723.870.139,70.636.920,252.295.180,1.400.952.318
08301- Centre,11.339,34.766,27.584,306.631.485,14.570.216,394.212.388,15.385.683,66.056.403,312.771.142
08302- Pla d´en Boet-Eixample,13.305,32.834,26.235,344.488.171,14.778.139,436.850.104,16.977.071,70.816.553,349.063.136
08303- Cerdanyola-Peramás,16.811,24.149,20.276,337.626.411,21.651.658,405.970.198,17.853.459,47.263.646,340.854.247
08304- Rocafonda-Vista Alegre-Els Molins,17.258,27.922,22.842,384.703.758,20.681.404,481.883.524,20.204.845,67.476.055,394.208.253
Resto,178,27.831,22.784,3.588.272,346.912,4.953.924,215.862,682.523,4.055.539
Sabadell-08187,104.136,31.306,25.201,2.653.005.328,156.528.320,3.260.087.551,134.348.101,501.524.199,2.624.299.773
08201-Centre,10.109,42.899,33.035,329.341.800,13.706.621,433.663.588,15.424.262,84.300.456,333.950.920
08202-Torre-Romeu-El Poblenou,12.411,37.693,29.549,360.175.894,18.967.593,467.806.923,18.027.601,83.042.921,366.736.400
08203-Montserrat Roig-María Mercé Marçal-Montevideo,12.700,30.836,24.870,329.395.174,18.878.106,391.618.937,16.529.115,59.253.756,315.842.945
08204-Margarida Xirgu-Consol Oromir-Triana-Sant Pius X,12.233,24.098,20.286,247.268.689,18.653.409,294.796.600,13.151.840,33.515.954,248.157.897
08205-Gracia-Aeropuerto,7.613,30.839,24.761,197.247.763,10.347.579,234.776.283,10.538.841,35.739.503,188.502.363
08206-Parque Odessa-Parque Catalunya,21.358,29.755,24.194,530.319.828,32.627.812,635.498.602,27.414.797,91.359.712,516.738.454
08207-Matadepera,14.817,25.630,21.405,318.109.399,24.568.213,379.759.610,16.916.449,45.695.475,317.163.695
08208-Creu Alta-Can Puig Gener,12.459,32.759,26.186,331.479.180,18.038.202,408.147.662,15.789.940,66.108.563,326.250.863
Resto,436,32.154,25.129,9.667.600,740.784,14.019.347,555.255,2.507.858,10.956.234
Sant Cugat del Vallès-08205,49.363,58.084,42.762,2.060.558.460,87.598.738,2.867.203.623,82.087.682,674.320.293,2.110.840.979
08172-Sant Cugat Nucleo,15.070,49.462,37.466,536.797.632,23.143.201,745.387.289,22.233.366,158.557.700,564.615.470
08173-Golf-Eixemple-Colomer,14.325,64.982,47.067,670.214.517,27.701.445,930.869.268,25.177.511,231.481.420,674.228.282
08174-Can Barata,3.621,54.061,40.035,157.061.375,7.770.485,195.756.368,7.601.714,43.191.336,144.966.019
08195-Mirasol,8.188,65.564,47.329,388.062.627,16.353.608,536.834.277,14.717.144,134.592.468,387.528.221
08197-Valldoreix,4.144,65.168,47.648,176.015.609,5.830.840,270.056.329,6.544.332,66.056.920,197.455.076
08198-La Floresta,2.490,47.489,35.905,81.478.620,4.006.192,118.247.037,3.552.109,25.290.873,89.404.055
Resto,1.525,45.936,34.521,50.928.079,2.792.968,70.053.055,2.261.506,15.149.575,52.643.856
Santa Coloma de Gramenet-08245,51.578,25.092,20.997,1.094.960.008,64.187.129,1.294.212.207,54.449.594,156.811.362,1.082.965.161
08921-El Centre,15.759,27.152,22.452,359.790.390,19.481.742,427.886.694,17.652.570,56.425.659,353.814.733
08922-El Riu-El Fondo,14.446,24.957,20.912,304.277.867,16.589.024,360.535.908,14.695.379,43.753.933,302.089.398
08923-El Raval,12.344,21.681,18.543,227.094.604,15.598.204,267.634.131,11.914.850,26.832.191,228.889.516
08924-Singuerlín,8.743,26.476,22.018,199.195.074,11.916.703,231.482.483,9.899.383,29.085.474,192.500.040
Resto,286,23.332,19.830,4.602.073,601.456,6.672.992,287.412,714.105,5.671.474
Terrassa-08279,108.695,30.758,24.773,2.766.674.340,158.681.813,3.343.277.720,142.488.787,508.140.517,2.692.675.095
08221-El Centre,11.161,43.733,33.565,367.615.292,15.919.406,488.106.793,17.305.893,96.183.732,374.623.552
08222-Valparadis,13.920,29.191,23.738,339.212.914,21.649.724,406.345.491,16.920.421,58.994.535,330.432.818
08223-Segle X,11.836,28.052,22.879,284.822.009,16.921.877,332.027.394,15.241.707,45.995.890,270.797.905
08224-La Cogallura-Vista Alegre,20.479,31.501,25.275,529.823.756,29.276.943,645.099.200,27.222.732,100.266.626,517.613.706
08225-Placita Del Bon Aire-Can Roca-Poble Nou,22.116,30.797,24.808,574.190.589,31.284.586,681.101.355,29.680.918,102.765.972,548.658.068
08226-Can Tussel,11.887,26.521,21.858,268.536.867,16.678.981,315.251.675,14.165.209,41.262.688,259.825.551
08227-Can Montlior-Els Bellots,12.544,26.374,21.805,284.802.436,19.311.659,330.832.052,15.910.946,41.396.382,273.525.390
08228-P.I. Can Perellada-Perellada,4.378,30.411,24.679,108.889.597,7.080.240,133.138.248,5.544.912,19.549.486,108.043.851
Resto,374,30.416,24.477,8.780.880,558.397,11.375.511,496.049,1.725.208,9.154.255
Girona-17079,59.188,34.530,27.248,1.583.874.336,68.453.132,2.043.753.261,74.544.584,356.520.504,1.612.738.493
17001-El Call- Barri Bell,4.089,41.171,31.864,120.710.315,4.538.004,168.347.886,5.514.474,32.543.128,130.292.281
17002-Eixample,6.179,38.572,30.251,164.987.203,10.014.554,238.334.171,6.630.540,44.787.889,186.922.627
17003-Midgia- Montivila-La Creu de Palau,14.196,41.062,31.553,452.173.137,14.817.321,582.912.085,20.912.950,114.073.278,447.927.405
17004-Carme- Caputxins- La Font de la Pólvora,4.123,31.227,24.932,97.910.859,4.792.817,128.749.961,4.891.433,21.063.824,102.794.715
17005-Sant Narcís,8.841,30.519,24.536,223.166.259,9.162.595,269.818.185,10.549.589,42.387.407,216.921.069
17006-Hortas de Santa Eugenia- Can Gibert,6.682,24.810,20.619,143.824.838,6.799.319,165.781.324,7.672.170,20.334.314,137.774.841
17007-Parque de la Devesa- Domeny- Germans Sabat,8.882,32.855,26.178,234.552.353,9.704.402,291.816.512,11.367.518,47.934.763,232.514.232
Resto,6.196,31.955,25.434,146.549.372,8.624.120,197.993.136,7.005.911,33.395.903,157.591.323
Lleida-25120,73.405,32.413,25.916,1.782.760.517,88.246.229,2.379.298.931,85.476.966,391.464.353,1.902.370.663
25001-La Bordeta-Els Magraners-Universidad-Cappont,16.774,29.579,23.862,418.304.038,19.591.593,496.155.036,21.741.418,74.149.260,400.267.577
25002-Seu Vella-Instituts,5.513,29.243,23.688,126.714.977,6.977.760,161.217.289,5.784.894,24.841.533,130.592.304
25003-Joc de la Bola-Mariola-Universidad,8.189,27.766,22.674,181.542.284,11.220.751,227.379.625,8.092.195,33.613.132,185.675.144
25004-Princep de Viana-Clot - La Magdalena-Centre Històric,4.436,27.984,22.710,100.158.543,4.886.706,124.138.686,4.696.898,18.701.685,100.740.165
25005-Balafia-Nova Balafia-Pardinyes,15.377,27.138,22.127,361.656.955,17.127.635,417.299.421,19.238.524,57.818.716,340.242.182
"25006-Zona Alta-Camp d,Esports-Fleming",6.523,37.615,29.655,182.375.740,8.118.068,245.363.044,7.106.756,44.823.283,193.437.503
25007-Rambla de Ferran-Estaciò,3.131,28.102,22.686,66.880.255,3.204.360,87.987.189,3.248.152,13.709.937,71.029.100
25008-Clot-Principe de Viana,4.855,40.125,31.834,117.119.043,6.666.871,194.806.723,4.756.080,35.500.224,154.552.629
25199-Ciutat Jardí,1.746,102.360,75.808,68.990.217,2.476.296,178.720.932,2.966.162,43.394.615,132.360.931
Resto,6.861,35.888,28.199,159.018.465,7.976.189,246.230.985,7.845.888,44.911.969,193.473.129
Reus-43123,51.293,28.993,23.595,1.215.627.493,63.663.072,1.487.158.020,59.092.029,217.819.139,1.210.257.216
43201-Centre,5.372,32.892,26.266,129.258.062,5.904.712,176.698.448,6.051.916,29.546.041,141.101.300
43202-Barri Ample-Mare Molas-Poniente,8.709,31.162,25.186,219.014.064,10.751.196,271.385.575,9.924.800,42.121.676,219.346.148
43203-Urbanització Sant Joan-La Fira-Parc de Sant Jordi,5.484,32.241,25.873,142.670.607,6.689.034,176.809.085,6.452.584,28.468.811,141.889.265
43204-Llevant-Aeropuerto,11.244,26.253,21.702,252.115.534,14.049.136,295.188.631,13.100.715,38.075.126,244.013.719
43205-Juncosa-Misericordia,14.309,25.818,21.395,314.325.505,17.014.887,369.434.031,15.697.038,47.592.529,306.144.464
43206-El Pinar-Barri Gaudí-Institut Pere Mata- Sol-I-Vista,5.978,32.213,25.683,154.360.106,8.747.219,192.570.481,7.630.793,31.405.862,153.533.826
Resto,197,25.745,21.464,3.883.616,506.888,5.071.770,234.182,609.095,4.228.493
Tarragona-43148,73.385,32.281,25.837,1.956.545.075,94.314.843,2.368.955.637,88.342.261,384.636.325,1.896.013.288
43001-Eixample-Nou Eixample Sud,6.482,33.642,27.063,167.437.557,8.073.458,218.067.046,6.396.424,36.247.340,175.423.282
43002-Nou Eixample Nord,7.817,33.256,26.632,219.449.580,9.123.687,259.960.270,8.791.033,42.994.985,208.180.711
43003-Part Alta-Ubarnització Bon Sol-Eixample,3.997,34.440,27.275,106.704.539,4.294.354,137.654.757,4.593.909,24.041.753,109.019.507
43004-Barris Maritims-El Serrallo,4.156,29.393,23.893,100.040.547,4.573.427,122.155.652,4.651.753,18.205.311,99.298.588
43005-Nou Eixample Sud-Centro Comercial Parc Central-Hospital Juan XXIII,10.924,36.710,28.889,342.373.174,15.215.772,401.015.041,15.487.967,69.951.768,315.588.276
43006-Torreforta-La Granja-Camp Clar-Polígono Industrial Rio Claro,10.429,23.655,19.956,218.984.516,12.993.482,246.693.197,10.797.831,27.776.005,208.123.832
43007 Sant Pere i Sant Pau-Urbanització Llevantina-Cala Romana,14.900,38.247,29.748,470.341.492,18.627.584,569.874.033,21.129.441,105.505.230,443.246.816
43008-Ferran-Tamarit-La Mora,1.135,50.235,37.912,41.256.223,1.636.388,57.016.231,1.856.847,12.129.181,43.030.203
43100-Bonavista,3.433,22.162,18.934,65.968.531,4.420.918,76.080.661,3.407.449,7.672.215,65.000.998
43130-Sant Salvador,2.869,26.562,21.945,67.770.649,3.847.351,76.205.724,3.484.806,9.760.599,62.960.319
Resto,7.243,28.197,22.938,156.218.266,11.508.422,204.233.025,7.744.803,30.351.937,166.140.757
Alicante/Alacant-03014,161.364,28.086,22.755,3.610.026.215,168.985.502,4.532.022.439,167.076.924,693.273.531,3.671.806.243
03001-Centro,2.735,39.962,30.917,68.235.472,2.761.453,109.296.684,2.664.045,22.078.476,84.557.635
03002-Casco Antiguo,2.446,31.178,25.143,47.982.457,5.225.744,76.262.077,2.037.840,12.732.403,61.498.770
03003-Ensanche,6.959,39.968,31.103,192.992.661,6.221.606,278.138.605,6.118.976,55.588.772,216.442.574
03004-San Antón,6.423,29.482,23.797,148.639.892,5.901.912,189.363.806,6.146.392,30.373.353,152.845.302
03005-Polígono de San Blas,18.615,29.282,23.668,460.733.023,18.244.299,545.090.364,22.655.977,81.855.403,440.584.598
03006-Florida-Portazgo,8.192,21.389,18.209,149.952.019,7.950.015,175.221.690,7.001.725,19.063.856,149.165.056
03007-Polígono de Babel,10.097,25.239,20.909,214.882.456,9.289.931,254.843.065,9.024.883,34.707.470,211.117.720
03008-Puerto de Alicante-El Palmeral,11.022,29.767,24.002,271.471.465,10.320.306,328.091.189,13.159.228,50.393.937,264.553.064
03009-Los Ángeles-Campoamor,8.437,21.355,18.115,156.169.504,7.592.387,180.174.301,7.820.977,19.525.531,152.836.951
03010-Altozano,10.678,22.392,18.925,206.866.465,10.181.997,239.100.942,9.768.519,27.258.320,202.084.310
03011-Ciudad Jardín,4.395,17.562,15.349,64.250.129,5.867.535,77.186.034,3.075.523,6.651.004,67.460.925
03012-Carolinas,9.400,19.410,16.734,155.549.252,8.819.521,182.454.347,7.176.344,17.980.500,157.301.904
03013-Repós,6.845,21.282,18.075,123.957.405,6.415.096,145.672.523,5.442.145,16.511.826,123.723.509
03014-Nou Alacant,3.698,15.760,13.744,42.803.036,6.956.043,58.280.088,2.159.923,5.293.297,50.826.868
03015-Parque de Las Avenidas-Vistahermosa,10.115,26.908,21.915,226.142.458,12.117.916,272.176.342,11.654.357,38.848.042,221.673.952
03016-La Goteta-La Cantera,5.880,33.843,26.676,151.552.525,6.347.959,198.996.969,6.978.139,35.172.499,156.853.262
03112-Villafranqueza,1.511,21.526,18.160,27.509.703,1.229.778,32.526.437,1.443.716,3.643.079,27.439.642
03113-El Rebolledo,924,23.261,19.539,18.008.969,806.376,21.493.216,996.096,2.442.634,18.054.486
03540-Playa de San Juan,22.390,40.778,31.406,686.691.072,26.446.233,913.027.084,32.255.010,177.626.562,703.171.609
03699-Moralet,2.162,23.208,19.427,42.414.204,1.976.399,50.174.728,2.215.009,5.959.447,42.000.272
Resto,8.440,24.224,19.859,153.222.049,8.312.999,204.451.948,7.282.096,29.567.120,167.613.834
Elche/Elx-03065,102.859,23.017,19.165,1.866.538.751,97.815.299,2.367.496.390,103.107.070,293.169.836,1.971.261.816
03139-El Vincle-Novavallverda-Valverde-Barrio Alto,1.040,32.198,25.741,23.010.212,820.648,33.486.242,1.249.292,5.466.031,26.770.919
03195-L Altet-Els Bassars,4.084,24.829,20.445,81.964.747,2.897.731,101.400.915,4.423.850,13.479.050,83.498.015
03201-Plá de Sant Josép-Pont Nou,15.162,23.255,19.382,270.520.909,14.442.726,352.592.240,14.031.195,44.709.863,293.864.497
03202-Altabix-Ciutat Esportiva,14.616,27.248,22.111,314.586.504,12.801.750,398.262.715,17.667.505,57.436.894,323.169.339
03203-Parque industrial,13.996,27.873,22.458,297.204.870,15.199.094,390.105.550,16.450.171,59.337.909,314.322.806
03204-Sector 5º-El Asilo-El Canal,11.779,19.670,16.819,194.028.579,10.476.461,231.687.531,11.129.428,22.455.321,198.111.643
03205-Altamira-El Toscar,13.122,18.590,16.129,205.976.080,12.422.277,243.934.104,11.442.636,20.844.904,211.646.563
03206-Carrús-Pza. Barcelona,12.498,15.959,14.209,166.510.940,14.607.888,199.456.703,8.777.719,13.100.016,177.579.996
03207-La Galia- Bonavista- Les Cases de Ferrández,1.176,28.368,22.681,23.142.809,1.066.650,33.360.692,1.301.985,5.385.337,26.673.371
03208-El Travaló,1.382,29.687,23.559,34.524.438,1.320.635,41.027.171,2.070.082,6.398.959,32.558.130
03292-Las Baias,1.486,22.816,19.048,25.847.311,1.066.410,33.905.120,1.584.274,4.016.648,28.304.692
03293-Pol.Ind. del Llano San José- Pla Nou- Algorós- El Derramador,1.205,26.300,21.440,23.381.642,999.416,31.690.938,1.364.506,4.491.165,25.835.267
03294-La Foia,1.874,21.468,18.221,31.182.002,1.616.417,40.230.715,1.847.963,4.235.811,34.146.941
03295-Les Selades-Jubalcoy-Maitino-Perleta,2.023,29.130,23.586,42.076.387,1.687.826,58.930.017,2.189.231,9.026.851,47.713.936
03296-Matola-Algoda,1.976,25.824,21.042,36.763.214,1.211.930,51.028.212,2.226.225,7.222.340,41.579.647
03320-Torrellano,3.277,21.755,18.410,57.168.196,3.249.266,71.290.890,3.329.896,7.630.288,60.330.706
Resto,2.163,25.477,20.876,38.649.911,1.928.171,55.106.636,2.021.113,7.932.449,45.155.347
Castellón de la Plana/Castelló de la Plana-12040,93.757,28.753,23.208,2.194.189.386,101.065.126,2.695.802.984,104.641.686,415.305.065,2.175.908.617
12001-Centro-Casco Histórico,4.203,36.551,28.634,101.981.849,4.595.685,153.624.479,4.053.637,29.227.125,120.349.003
12002-Centro-Hospital-Ribalta-Pza. Toros,5.708,33.069,26.194,138.569.202,6.388.402,188.759.054,5.506.357,33.739.790,149.515.488
12003-Este/Zona Avda. del Mar,12.009,32.206,25.644,310.218.667,14.204.201,386.758.585,13.508.188,65.293.511,307.956.886
12004-Norte-Nou Estadi Castalia-Pza. Illes Columbretes,18.532,28.754,23.172,431.410.093,19.895.933,532.862.736,20.171.334,83.274.430,429.426.542
12005-Sur-Parque Sensal,16.942,29.171,23.491,415.107.355,17.230.337,494.223.402,19.404.923,76.848.877,397.979.257
12006-Sur-Oeste-Universidad,24.150,25.291,20.846,527.283.258,25.330.639,610.779.214,28.664.388,78.701.176,503.425.977
12100-El Grao,9.309,27.598,22.465,211.279.926,10.501.922,256.913.249,10.491.762,37.305.503,209.128.587
Resto,2.904,24.753,20.016,58.339.036,2.918.007,71.882.266,2.841.099,10.914.653,58.126.876
Valencia-46250,430.338,32.215,25.663,10.489.636.417,529.757.646,13.863.342.406,472.315.841,2.347.424.999,11.043.838.397
46001-El Pilar,6.025,37.647,29.463,151.231.279,6.661.032,226.823.521,6.744.824,42.565.990,177.517.025
46002-El Centro,2.399,56.458,42.173,72.028.486,3.379.748,135.443.556,2.861.348,31.424.141,101.173.220
46003-Carmen,6.365,44.659,34.148,173.238.948,8.179.271,284.255.570,7.065.795,59.853.056,217.348.850
46004-Pla de Remei,5.573,100.317,72.156,212.717.303,7.448.173,559.068.550,6.565.371,150.382.833,402.122.729
46005-Gran Vía,11.099,47.801,36.236,334.228.652,14.903.524,530.543.858,13.316.592,115.055.838,402.178.589
46006-Ruzafa,26.229,29.406,23.797,605.063.792,30.317.550,771.284.624,27.613.328,119.524.227,624.165.382
46007-Patraix,24.157,33.215,26.426,606.717.446,29.134.995,802.363.297,26.958.130,137.043.174,638.376.272
46008-Extramurs,16.752,35.961,28.391,452.386.822,21.265.516,602.410.846,19.248.755,107.568.380,475.599.373
46009-Marchalenes,24.056,27.610,22.623,545.130.781,28.762.808,664.181.534,24.117.767,95.856.027,544.220.372
46010-Mestalla,15.021,47.624,36.233,468.740.100,23.027.348,715.365.229,17.192.966,153.920.473,544.259.709
46011-Poblet Maritims,17.031,26.636,21.864,370.879.106,21.638.607,453.631.948,17.212.256,64.070.454,372.358.655
46012-La Albufera,3.765,32.425,25.843,91.744.966,4.794.649,122.079.826,4.260.804,20.521.739,97.297.433
46013-Quatre,10.761,30.624,24.453,259.959.202,13.798.174,329.544.426,12.293.012,54.112.981,263.141.246
46014-Barrio de La Luz,20.995,26.477,21.911,463.197.076,26.078.243,555.889.141,22.191.006,73.688.932,460.021.968
46015-Campanar,24.268,35.023,27.457,677.714.616,31.769.655,849.937.159,30.162.017,153.447.754,666.328.880
46016-Tavernes Blanques,1.566,28.072,22.858,34.480.534,1.782.891,43.960.237,1.666.680,6.498.687,35.794.870
46017-La Cruz Cubierto,23.552,24.438,20.364,490.441.299,26.445.565,575.557.553,24.170.419,71.789.699,479.609.827
46018-La Luz,26.233,26.556,21.900,571.623.132,31.848.921,696.654.279,26.397.177,95.757.537,574.504.769
46019-Torrefiel,19.593,25.380,20.957,412.590.295,24.075.423,497.263.552,20.296.739,66.353.350,410.615.796
46020-Benimaclet,18.167,32.609,26.008,471.901.383,21.207.131,592.403.091,21.102.206,98.813.846,472.488.212
46021-Algirós,19.186,34.190,27.109,514.176.868,24.062.329,655.964.152,21.412.832,114.462.253,520.111.797
46022-Ayora,27.751,29.041,23.545,673.371.240,33.724.901,805.927.215,30.260.505,122.277.752,653.409.351
46023-La Crus Del Grao,17.545,40.374,30.967,516.088.157,22.806.720,708.359.033,23.576.480,141.474.491,543.315.500
46024-Nazaret,5.789,25.472,20.877,122.431.824,7.121.792,147.456.758,6.014.237,20.592.081,120.854.504
46025-Benicalap,18.579,25.442,21.037,399.682.696,22.569.462,472.691.701,20.105.938,61.758.624,390.838.551
46026-Malilla,11.712,26.363,21.679,259.092.066,13.129.605,308.768.047,13.201.741,41.674.571,253.902.477
46035-Sant Pau-Benimanet,6.377,22.556,18.982,121.532.679,6.352.362,143.837.978,6.279.643,16.512.224,121.046.299
46112-Massarrochos-Santa Bárbara,1.402,48.288,35.776,49.490.092,2.038.462,67.699.733,2.185.242,15.356.307,50.158.184
Resto,18.390,29.580,23.441,367.755.574,21.432.789,543.975.991,17.842.031,95.067.574,431.078.555
Badajoz-06015,73.938,27.249,22.264,1.649.720.057,85.669.956,2.014.735.843,74.251.951,294.313.839,1.646.191.446
06001-Centro-Casco Antiguo,2.838,33.073,26.136,66.173.759,3.712.838,93.860.995,2.718.076,16.970.324,74.173.767
